"rank" "remaining_area" "remaining_cost" "mean" "max" "min" "mean_positive" "weighted_mean_positive" "max_positive" "min_positive"
0.00000 130210 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00010 130197 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00020 130184 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00030 130171 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00040 130158 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00050 130145 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00060 130132 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00070 130119 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00080 130106 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00090 130093 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00100 130080 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00110 130067 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00120 130054 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00130 130041 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00140 130028 0.0 1.0000 1.0000 0.9999 1.0000 1.0000 1.0000 0.9999
0.00150 130015 0.0 1.0000 1.0000 0.9999 1.0000 1.0000 1.0000 0.9999
0.00160 130002 0.0 1.0000 1.0000 0.9999 1.0000 1.0000 1.0000 0.9999
0.00170 129989 0.0 1.0000 1.0000 0.9999 1.0000 1.0000 1.0000 0.9999
0.00180 129976 0.0 1.0000 1.0000 0.9999 1.0000 1.0000 1.0000 0.9999
0.00190 129963 0.0 1.0000 1.0000 0.9999 1.0000 1.0000 1.0000 0.9999
0.00200 129950 0.0 1.0000 1.0000 0.9999 1.0000 1.0000 1.0000 0.9999
0.00210 129937 0.0 1.0000 1.0000 0.9999 1.0000 1.0000 1.0000 0.9999
0.00220 129924 0.0 1.0000 1.0000 0.9999 1.0000 1.0000 1.0000 0.9999
0.00230 129911 0.0 1.0000 1.0000 0.9999 1.0000 1.0000 1.0000 0.9999
0.00240 129898 0.0 1.0000 1.0000 0.9999 1.0000 1.0000 1.0000 0.9999
0.00250 129885 0.0 1.0000 1.0000 0.9999 1.0000 1.0000 1.0000 0.9999
0.00260 129872 0.0 1.0000 1.0000 0.9999 1.0000 1.0000 1.0000 0.9999
0.00270 129859 0.0 1.0000 1.0000 0.9999 1.0000 1.0000 1.0000 0.9999
0.00280 129846 0.0 1.0000 1.0000 0.9999 1.0000 1.0000 1.0000 0.9999
0.00290 129833 0.0 1.0000 1.0000 0.9999 1.0000 1.0000 1.0000 0.9999
0.00300 129820 0.0 1.0000 1.0000 0.9999 1.0000 1.0000 1.0000 0.9999
0.00310 129807 0.0 1.0000 1.0000 0.9999 1.0000 1.0000 1.0000 0.9999
0.00319 129794 0.0 1.0000 1.0000 0.9999 1.0000 1.0000 1.0000 0.9999
0.00329 129781 0.0 1.0000 1.0000 0.9999 1.0000 1.0000 1.0000 0.9999
0.00339 129768 0.0 1.0000 1.0000 0.9999 1.0000 1.0000 1.0000 0.9999
0.00349 129755 0.0 1.0000 1.0000 0.9999 1.0000 1.0000 1.0000 0.9999
0.00359 129742 0.0 1.0000 1.0000 0.9998 1.0000 1.0000 1.0000 0.9998
0.00369 129729 0.0 1.0000 1.0000 0.9998 1.0000 1.0000 1.0000 0.9998
0.00379 129716 0.0 1.0000 1.0000 0.9998 1.0000 1.0000 1.0000 0.9998
0.00389 129703 0.0 1.0000 1.0000 0.9998 1.0000 1.0000 1.0000 0.9998
0.00399 129690 0.0 1.0000 1.0000 0.9998 1.0000 1.0000 1.0000 0.9998
0.00409 129677 0.0 1.0000 1.0000 0.9998 1.0000 1.0000 1.0000 0.9998
0.00419 129664 0.0 1.0000 1.0000 0.9998 1.0000 1.0000 1.0000 0.9998
0.00429 129651 0.0 1.0000 1.0000 0.9998 1.0000 1.0000 1.0000 0.9998
0.00439 129638 0.0 1.0000 1.0000 0.9998 1.0000 1.0000 1.0000 0.9998
0.00449 129625 0.0 1.0000 1.0000 0.9998 1.0000 1.0000 1.0000 0.9998
0.00459 129612 0.0 1.0000 1.0000 0.9998 1.0000 1.0000 1.0000 0.9998
0.00469 129599 0.0 1.0000 1.0000 0.9998 1.0000 1.0000 1.0000 0.9998
0.00479 129586 0.0 1.0000 1.0000 0.9998 1.0000 1.0000 1.0000 0.9998
0.00489 129573 0.0 1.0000 1.0000 0.9998 1.0000 1.0000 1.0000 0.9998
0.00499 129560 0.0 1.0000 1.0000 0.9998 1.0000 1.0000 1.0000 0.9998
0.00509 129547 0.0 1.0000 1.0000 0.9998 1.0000 1.0000 1.0000 0.9998
0.00519 129534 0.0 1.0000 1.0000 0.9998 1.0000 1.0000 1.0000 0.9998
0.00529 129521 0.0 1.0000 1.0000 0.9998 1.0000 1.0000 1.0000 0.9998
0.00539 129508 0.0 1.0000 1.0000 0.9998 1.0000 1.0000 1.0000 0.9998
0.00549 129495 0.0 1.0000 1.0000 0.9998 1.0000 1.0000 1.0000 0.9998
0.00559 129482 0.0 1.0000 1.0000 0.9998 1.0000 1.0000 1.0000 0.9998
0.00569 129469 0.0 1.0000 1.0000 0.9998 1.0000 1.0000 1.0000 0.9998
0.00579 129456 0.0 1.0000 1.0000 0.9998 1.0000 1.0000 1.0000 0.9998
0.00589 129443 0.0 1.0000 1.0000 0.9997 1.0000 1.0000 1.0000 0.9997
0.00599 129430 0.0 1.0000 1.0000 0.9997 1.0000 1.0000 1.0000 0.9997
0.00609 129417 0.0 1.0000 1.0000 0.9997 1.0000 1.0000 1.0000 0.9997
0.00619 129404 0.0 1.0000 1.0000 0.9997 1.0000 1.0000 1.0000 0.9997
0.00629 129391 0.0 1.0000 1.0000 0.9997 1.0000 1.0000 1.0000 0.9997
0.00639 129378 0.0 1.0000 1.0000 0.9997 1.0000 1.0000 1.0000 0.9997
0.00649 129365 0.0 1.0000 1.0000 0.9997 1.0000 1.0000 1.0000 0.9997
0.00659 129352 0.0 1.0000 1.0000 0.9997 1.0000 1.0000 1.0000 0.9997
0.00669 129339 0.0 1.0000 1.0000 0.9997 1.0000 1.0000 1.0000 0.9997
0.00679 129326 0.0 1.0000 1.0000 0.9997 1.0000 1.0000 1.0000 0.9997
0.00689 129313 0.0 1.0000 1.0000 0.9997 1.0000 1.0000 1.0000 0.9997
0.00699 129300 0.0 1.0000 1.0000 0.9997 1.0000 1.0000 1.0000 0.9997
