"number" "dsum" "count" "missing" "quant_error" "fname"
0 2.41189e+07 52263 394857 0.00519111 "C:\Users\thiag.DESKTOP-KU3A435\Documents\zonationR_workflow\biod2\Abies_alba.tif"
1 3.85771e+07 72960 374160 0.00305667 "C:\Users\thiag.DESKTOP-KU3A435\Documents\zonationR_workflow\biod2\Acer_campestre.tif"
2 1.35565e+07 45864 401256 0.0535442 "C:\Users\thiag.DESKTOP-KU3A435\Documents\zonationR_workflow\biod2\Acer_opalus.tif"
3 3.76087e+07 73834 373286 0.00366300 "C:\Users\thiag.DESKTOP-KU3A435\Documents\zonationR_workflow\biod2\Acer_platanoides.tif"
4 3.63954e+07 79280 367840 0.0103726 "C:\Users\thiag.DESKTOP-KU3A435\Documents\zonationR_workflow\biod2\Acer_pseudoplatanus.tif"
5 5.48497e+07 109342 337778 0.00371123 "C:\Users\thiag.DESKTOP-KU3A435\Documents\zonationR_workflow\biod2\Alnus_glutinosa.tif"
6 4.21649e+07 86790 360330 0.0120111 "C:\Users\thiag.DESKTOP-KU3A435\Documents\zonationR_workflow\biod2\Alnus_incana.tif"
7 1.16076e+07 30901 416219 0.00222381 "C:\Users\thiag.DESKTOP-KU3A435\Documents\zonationR_workflow\biod2\Arbutus_unedo.tif"
8 2.46795e+07 63096 384024 0.0148997 "C:\Users\thiag.DESKTOP-KU3A435\Documents\zonationR_workflow\biod2\Aria_edulis.tif"
9 5.4915e+07 96124 350996 0.00388488 "C:\Users\thiag.DESKTOP-KU3A435\Documents\zonationR_workflow\biod2\Betula_pendula.tif"
