"rank" "remaining_area" "remaining_cost" "mean" "max" "min" "mean_positive" "weighted_mean_positive" "max_positive" "min_positive"
0.00000 123704 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00010 123692 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00019 123680 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00029 123668 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00039 123656 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00049 123644 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00058 123632 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00068 123620 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00078 123608 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00087 123596 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00097 123584 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00107 123572 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00116 123560 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00126 123548 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00136 123536 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00146 123524 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00155 123512 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00165 123500 0.0 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000 1.0000
0.00175 123488 0.0 1.0000 1.0000 0.9999 1.0000 1.0000 1.0000 0.9999
0.00184 123476 0.0 1.0000 1.0000 0.9999 1.0000 1.0000 1.0000 0.9999
0.00194 123464 0.0 1.0000 1.0000 0.9999 1.0000 1.0000 1.0000 0.9999
0.00204 123452 0.0 1.0000 1.0000 0.9999 1.0000 1.0000 1.0000 0.9999
0.00213 123440 0.0 1.0000 1.0000 0.9999 1.0000 1.0000 1.0000 0.9999
0.00223 123428 0.0 1.0000 1.0000 0.9999 1.0000 1.0000 1.0000 0.9999
0.00233 123416 0.0 1.0000 1.0000 0.9999 1.0000 1.0000 1.0000 0.9999
